type,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North California,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South California,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
violent,14324,3498,21161,9181,124598,13438,8795,2148,7880,53138,18151,2352,18679,18751,6112,7967,7246,13514,1291,11862,25991,33749,10989,3772,21347,1290,4177,15196,2574,22708,6921,70155,21119,1326,22605,14786,7332,35864,2642,9543,1572,30282,85917,4575,314,9632,15006,917,14192,803
murder,228,16,248,103,1400,134,80,21,103,575,282,11,616,287,27,76,100,324,12,253,133,532,94,96,305,10,50,140,21,337,63,545,257,6,313,163,45,498,31,120,6,261,843,32,2,193,100,6,143,6
rape,1154,553,1534,874,6064,2291,673,113,393,3397,796,438,1837,1398,797,886,837,649,300,435,2019,3490,1550,358,1797,217,566,981,610,770,692,2041,1018,234,2264,1532,817,2754,408,785,337,1752,6400,1060,33,1031,1652,91,1220,94
robbery,3576,599,6132,1892,48035,2923,3466,687,3660,15720,6639,183,16699,6475,839,1259,2964,4069,297,4787,6394,9022,3594,1565,5104,170,1007,5094,625,11054,1339,25370,6818,144,10360,2906,2158,13491,678,2113,133,6786,27177,928,38,3015,5019,141,4702,70
assault,9433,2330,13247,6312,69099,8090,4576,1327,3724,33446,10434,1720,11756,10601,4449,5746,3345,8472,682,6387,17445,20705,5751,1753,14141,893,2554,8981,1318,10547,4827,42199,13026,942,9668,10185,4312,19121,1525,6525,1096,21483,51497,2555,241,5393,8235,679,8127,633
property,110445,17776,181403,74226,869985,116633,65542,11154,29569,359281,158064,22527,250339,134414,53901,69079,82064,89543,23616,53055,129599,160829,110641,39950,152914,17592,40647,71226,26208,154721,47774,275827,179769,11510,191959,107022,97937,207075,25015,76402,12113,154441,699459,58319,5739,90892,192461,7842,103899,10205
burglary,26399,1924,37936,19363,190417,20321,11520,1995,3314,76450,34513,4262,47633,30285,11358,13029,17908,22168,4201,11438,29556,38454,17898,10610,28641,2498,7068,20799,4343,33213,11083,41650,44312,2023,53852,27445,14628,37790,5507,13766,2212,34695,143623,9107,1173,15006,37927,1442,18574,1422
larceny,77067,14577,129979,51346,539803,85753,48240,8576,23108,262253,111589,17206,184193,93080,39214,50404,59516,62251,18810,36016,91176,101283,85979,27136,110672,14032,29621,40951,21026,108560,32848,221682,127117,8579,132054,70018,75616,157719,17360,58146,9293,111344,502618,45016,4410,71044,132417,6133,78894,8375
motorTheft,6979,1275,13488,3517,139765,10559,5782,583,3147,20592,11962,1059,18513,11049,3329,5646,4640,5124,605,5601,8867,21092,6764,2204,13601,1062,3958,9476,839,12948,3843,12495,8340,908,12474,9559,7693,11566,2148,4490,608,8402,53218,5167,156,4842,22117,267,6431,408
arson,24,121,1028,307,6203,664,220,4,0,964,374,136,1342,790,332,387,405,264,104,400,493,1512,615,258,771,66,177,323,216,519,147,350,844,60,1455,573,661,928,167,226,62,737,3142,140,18,485,758,54,576,28
